"country_code","country","year","imf_gdp_growth","world_bank_gdp_growth","difference_pp","absolute_difference_pp"
"MYS","Malaysia","2018","4.843087","4.84308697634881","2.36511894513569E-08","2.36511894513569E-08"
"MYS","Malaysia","2019","4.413187","4.41318742129586","-4.21295860419946E-07","4.21295860419946E-07"
"MYS","Malaysia","2020","-5.456847","-5.45684658426701","-4.15732989367257E-07","4.15732989367257E-07"
"MYS","Malaysia","2021","3.31535","3.31534954399166","4.56008339977387E-07","4.56008339977387E-07"
"MYS","Malaysia","2022","9.031737","9.03173723044451","-2.30444509696781E-07","2.30444509696781E-07"
"MYS","Malaysia","2023","3.537064","3.5370638041057","1.95894299892529E-07","1.95894299892529E-07"
"MYS","Malaysia","2024","5.105459","5.10545921024041","-2.10240409970197E-07","2.10240409970197E-07"
"MMR","Myanmar","2015","5.862473","6.99284029026121","-1.13036729026121","1.13036729026121"
"MMR","Myanmar","2016","6.758629","5.86247291518572","0.89615608481428","0.89615608481428"
"MMR","Myanmar","2017","6.136108","6.13610824360305","-2.43603049732144E-07","2.43603049732144E-07"
"MMR","Myanmar","2018","6.277492","6.26886221471075","0.00862978528924963","0.00862978528924963"
"MMR","Myanmar","2019","6.562336","6.57911006765414","-0.0167740676541399","0.0167740676541399"
"MMR","Myanmar","2020","-9.031913","-9.04834717984643","0.0164341798464314","0.0164341798464314"
"MMR","Myanmar","2021","-11.995157","-12.0163724829177","0.0212154829176985","0.0212154829176985"
"MMR","Myanmar","2022","4.017047","4.0374934360085","-0.0204464360085002","0.0204464360085002"
"MMR","Myanmar","2023","0.997465","0.958446625126115","0.039018374873885","0.039018374873885"
"MMR","Myanmar","2024","-0.972064","-0.97204641363362","-1.75863663800513E-05","1.75863663800513E-05"
"PHL","Philippines","2015","6.348305","6.34830971672761","-4.71672761026554E-06","4.71672761026554E-06"
"PHL","Philippines","2016","7.149461","7.14945675000752","4.24999247972124E-06","4.24999247972124E-06"
"PHL","Philippines","2017","6.930993","6.9309883258402","4.6741597996558E-06","4.6741597996558E-06"
"PHL","Philippines","2018","6.34149","6.34148557153473","4.42846527004548E-06","4.42846527004548E-06"
"PHL","Philippines","2019","6.118518","6.11852566221303","-7.66221303027947E-06","7.66221303027947E-06"
"PHL","Philippines","2020","-9.518303","-9.51829474045297","-8.25954703032039E-06","8.25954703032039E-06"
"PHL","Philippines","2021","5.714728","5.71473313185116","-5.1318511600229E-06","5.1318511600229E-06"
"PHL","Philippines","2022","7.580991","7.58098212785563","8.87214437028661E-06","8.87214437028661E-06"
"PHL","Philippines","2023","5.51896","5.51894967856043","1.03214395696938E-05","1.03214395696938E-05"
"PHL","Philippines","2024","5.692006","5.71474526128652","-0.02273926128652","0.02273926128652"
"SGP","Singapore","2015","2.976799","2.97679931634806","-3.16348059747895E-07","3.16348059747895E-07"
"SGP","Singapore","2016","3.910953","3.91095306322606","-6.32260599431334E-08","6.32260599431334E-08"
"SGP","Singapore","2017","4.326794","4.32679370770501","2.92294989989728E-07","2.92294989989728E-07"
"SGP","Singapore","2018","3.186608","3.18660848474074","-4.84740739992162E-07","4.84740739992162E-07"
"SGP","Singapore","2019","1.158779","1.15877947300108","-4.73001080081303E-07","4.73001080081303E-07"
"SGP","Singapore","2020","-3.610843","-3.61084281729929","-1.82700710116279E-07","1.82700710116279E-07"
"SGP","Singapore","2021","10.141085","10.1410845197192","4.80280800019273E-07","4.80280800019273E-07"
"SGP","Singapore","2022","4.010279","4.01027884472296","1.55277040114754E-07","1.55277040114754E-07"
"SGP","Singapore","2023","1.450268","1.45026775889565","2.41104349818499E-07","2.41104349818499E-07"
"SGP","Singapore","2024","5.343512","5.3435120192366","-1.92366007567557E-08","1.92366007567557E-08"
"THA","Thailand","2015","3.134047","3.13404724911635","-2.49116350214962E-07","2.49116350214962E-07"
"THA","Thailand","2016","3.435158","3.43515771692182","2.83078180007834E-07","2.83078180007834E-07"
"THA","Thailand","2017","4.177681","4.1776810321001","-3.21001003555921E-08","3.21001003555921E-08"
"THA","Thailand","2018","4.22287","4.22287028746071","-2.87460709458287E-07","2.87460709458287E-07"
"THA","Thailand","2019","2.114558","2.11455779628278","2.03717219982025E-07","2.03717219982025E-07"
"THA","Thailand","2020","-6.093063","-6.09306312966953","1.29669530224419E-07","1.29669530224419E-07"
"THA","Thailand","2021","1.552682","1.55858232076893","-0.0059003207689301","0.0059003207689301"
"THA","Thailand","2022","2.684753","2.63784213566305","0.04691086433695","0.04691086433695"
"THA","Thailand","2023","2.240138","2.24883437970568","-0.00869637970567982","0.00869637970567982"
"THA","Thailand","2024","2.944729","2.94859986593323","-0.00387086593323005","0.00387086593323005"
"VNM","Vietnam","2015","6.987154","6.98715430598611","-3.05986109339074E-07","3.05986109339074E-07"
"VNM","Vietnam","2016","6.690009","6.69000892660424","7.33957596921186E-08","7.33957596921186E-08"
"VNM","Vietnam","2017","6.94019","6.94019037359206","-3.73592059510486E-07","3.73592059510486E-07"
"VNM","Vietnam","2018","7.465007","7.46500685572751","1.44272489954744E-07","1.44272489954744E-07"
"VNM","Vietnam","2019","7.359263","7.35926270105006","2.98949940358284E-07","2.98949940358284E-07"
"VNM","Vietnam","2020","2.865413","2.86541320912272","-2.09122719585508E-07","2.09122719585508E-07"
"VNM","Vietnam","2021","2.553728","2.55372852648131","-5.26481310103577E-07","5.26481310103577E-07"
"VNM","Vietnam","2022","8.5375","8.53750041218142","-4.12181419662261E-07","4.12181419662261E-07"
"VNM","Vietnam","2023","5.065024","4.97865959483225","0.0863644051677506","0.0863644051677506"
"VNM","Vietnam","2024","6.951564","7.03955197123018","-0.0879879712301799","0.0879879712301799"
